year,month_number,sport,total_turnover,total_profit,prev_month_turnover,prev_month_profit,mom_turnover_pct,mom_profit_pct,profit_anomaly_flag
2018,10,E - League of Legends,13667412.0,157434.0,7892697.0,-23044.0,73.17,-783.19,Anomaly
2018,10,E - Other Esports,391174.0,17111.0,278.0,-465.0,140610.07,-3779.78,Anomaly
2018,10,E - World of Warcraft,1406.0,36.0,1699.0,662.0,-17.25,-94.56,Normal
2018,10,E - Rainbow Six,28617.0,-3271.0,25713.0,-3536.0,11.29,-7.49,Normal
2018,10,E - Hearthstone,200486.0,2662.0,464105.0,5514.0,-56.8,-51.72,Normal
2018,10,E - Honor of Kings,46857.0,1729.0,68339.0,1232.0,-31.43,40.34,Normal
2018,10,E - Dota2,19720355.0,-15673.0,6881710.0,14838.0,186.56,-205.63,Normal
2018,10,E - PUBG,38034.0,-3789.0,19060.0,-4393.0,99.55,-13.75,Normal
2018,10,E - Starcraft: Brood War,41240.0,15104.0,19867.0,-392.0,107.58,-3953.06,Anomaly
2018,10,E - Call of Duty,342.0,-320.0,80994.0,-10806.0,-99.58,-97.04,Normal
2018,10,E - Clash Royale,12058.0,-24530.0,,,,,Normal
2018,10,E - Warcraft 3,11389.0,-1593.0,12727.0,1641.0,-10.51,-197.07,Normal
2018,10,E - Fortnite,588.0,-419.0,3092.0,-285.0,-80.98,47.02,Normal
2018,10,E - CS:GO,24121774.0,488120.0,25720185.0,928534.0,-6.21,-47.43,Normal
2018,10,E - Team Fortress 2,6.0,-1.0,,,,,Normal
2018,11,E - Rainbow Six,36121.0,-3802.0,28617.0,-3271.0,26.22,16.23,Normal
2018,11,E - Hearthstone,100893.0,-6448.0,200486.0,2662.0,-49.68,-342.22,Normal
2018,11,E - Honor of Kings,320382.0,-11369.0,46857.0,1729.0,583.74,-757.55,Anomaly
2018,11,E - Dota2,30703636.0,797467.0,19720355.0,-15673.0,55.7,-5188.16,Anomaly
2018,11,E - PUBG,4562.0,473.0,38034.0,-3789.0,-88.01,-112.48,Normal
2018,11,E - Starcraft: Brood War,53839.0,-728.0,41240.0,15104.0,30.55,-104.82,Normal
2018,11,E - Warcraft 3,49925.0,-5560.0,11389.0,-1593.0,338.36,249.03,Normal
2018,11,Tennis,46729514.99930656,762898.0,84260037.22477068,1821290.0,-44.54,-58.11,Normal
2018,11,E - Artifact,6790.0,450.0,,,,,Normal
2018,11,E - Starcraft2,503404.0,-15514.0,463229.0,-6234.0,8.67,148.86,Normal
2018,11,E - Overwatch,583890.0,-15870.0,66249.0,11162.0,781.36,-242.18,Normal
2018,11,Soccer,89394350.29329397,2918661.0,99107177.89335938,2533734.0,-9.8,15.19,Normal
2018,11,E - Quake,15565.0,-2014.0,14153.0,-2673.0,9.98,-24.65,Normal
2018,11,E - Rocket League,36462.0,-6893.0,18396.0,-2050.0,98.21,236.24,Normal
2018,11,E - League of Legends,1296152.0,-11925.0,13667412.0,157434.0,-90.52,-107.57,Normal
2018,11,E - Other Esports,4782.0,-1220.0,391174.0,17111.0,-98.78,-107.13,Normal
2018,11,E - World of Warcraft,3583.0,256.0,1406.0,36.0,154.84,611.11,Anomaly
2018,11,E - Paladins,2468.0,-141.0,,,,,Normal
2018,11,E - Street Fighter,151.0,-207.0,7593.0,-388.0,-98.01,-46.65,Normal
2018,11,E - Fifa,949.0,-102.0,504.0,164.0,88.29,-162.2,Normal
2018,11,E - Clash Royale,631.0,319.0,12058.0,-24530.0,-94.77,-101.3,Normal
2018,11,E - CS:GO,22216905.0,608368.0,24121774.0,488120.0,-7.9,24.63,Normal
2018,11,E - Smite,1749.0,60.0,,,,,Normal
2018,11,E - Team Fortress 2,10137.0,-506.0,6.0,-1.0,168850.0,50500.0,Anomaly
2018,12,E - Starcraft2,364175.0,-12609.0,503404.0,-15514.0,-27.66,-18.73,Normal
2018,12,E - Arena of Valor,7532.0,1826.0,,,,,Normal
2018,12,E - Fifa,10788.0,-2203.0,949.0,-102.0,1036.78,2059.8,Anomaly
2018,12,E - Overwatch,1403846.0,-74402.0,583890.0,-15870.0,140.43,368.82,Normal
2018,12,E - Tekken,130.0,130.0,,,,,Normal
2018,12,Soccer,79658760.61309442,2670822.0,89394350.29329397,2918661.0,-10.89,-8.49,Normal
2018,12,E - Quake,1994.0,-268.0,15565.0,-2014.0,-87.19,-86.69,Normal
2018,12,E - Rocket League,11711.0,735.0,36462.0,-6893.0,-67.88,-110.66,Normal
2018,12,E - League of Legends,3572992.0,73864.0,1296152.0,-11925.0,175.66,-719.4,Anomaly
2018,12,E - Fortnite,825.0,-5969.0,588.0,-419.0,40.31,1324.58,Anomaly
2018,12,E - Honor of Kings,198588.0,-3187.0,320382.0,-11369.0,-38.02,-71.97,Normal
2018,12,E - Street Fighter,7184.0,-443.0,151.0,-207.0,4657.62,114.01,Normal
