year,month_number,region,total_turnover,total_profit,prev_month_turnover,prev_month_profit,mom_turnover_pct,mom_profit_pct,profit_anomaly_flag
2019,5,Nordic,13114531.701495588,393696.0,13865010.399630368,-34244.0,-5.41,-1249.68,Anomaly
2019,5,Rest Of the World,4992520.567251027,30734.0,5129597.91288507,109512.0,-2.67,-71.94,Normal
2019,5,Rest of Asia,3814702.763921723,192999.0,4228729.434958518,161561.0,-9.79,19.46,Normal
2019,5,Russia & CIS,67834897.26893204,580467.0,51385151.682941616,940644.0,32.01,-38.29,Normal
2019,5,Canada,14967074.067621797,442554.0,15957096.1655716,433696.0,-6.2,2.04,Normal
2019,6,Rest Of Europe,43385375.16279632,350606.0,49682656.64416236,823557.0,-12.68,-57.43,Normal
2019,6,South Korea,20997826.02472189,531958.0,28835872.635049965,1251974.0,-27.18,-57.51,Normal
2019,6,Latin America,16516725.015033945,1198070.0,13066400.055740297,358047.0,26.41,234.61,Normal
2019,6,China,35099384.24780132,960677.0,38791429.33520281,1677620.0,-9.52,-42.74,Normal
2019,6,Japan,4326998.613982007,116504.0,6835641.844567537,149891.0,-36.7,-22.27,Normal
2019,6,Italy,5111388.255179942,69171.0,5990069.557959557,111803.0,-14.67,-38.13,Normal
2019,6,Nordic,10023130.837073445,280365.0,13114531.701495588,393696.0,-23.57,-28.79,Normal
2019,6,Rest Of the World,3180497.196464777,111458.0,4992520.567251027,30734.0,-36.29,262.65,Normal
2019,6,Rest of Asia,3065173.918157216,45173.0,3814702.763921723,192999.0,-19.65,-76.59,Normal
2019,6,Russia & CIS,59479700.06976961,1472371.0,67834897.26893204,580467.0,-12.32,153.65,Normal
2019,6,Canada,12137354.429543503,225400.0,14967074.067621797,442554.0,-18.91,-49.07,Normal
2019,7,Rest Of Europe,43559985.81394404,1341925.0,43385375.16279632,350606.0,0.4,282.74,Normal
2019,7,South Korea,25391995.553811193,968356.0,20997826.02472189,531958.0,20.93,82.04,Normal
2019,7,Latin America,12239614.020931602,244947.0,16516725.015033945,1198070.0,-25.9,-79.55,Normal
2019,7,China,32918996.40128684,1032997.0,35099384.24780132,960677.0,-6.21,7.53,Normal
2019,7,Japan,3838134.682878256,174621.0,4326998.613982007,116504.0,-11.3,49.88,Normal
2019,7,Italy,4059740.0851638317,128782.0,5111388.255179942,69171.0,-20.57,86.18,Normal
2019,7,Nordic,9516401.18870315,342860.0,10023130.837073445,280365.0,-5.06,22.29,Normal
2019,7,Rest Of the World,3350079.2547534853,-116403.0,3180497.196464777,111458.0,5.33,-204.44,Normal
2019,7,Rest of Asia,4001001.219437629,1909.0,3065173.918157216,45173.0,30.53,-95.77,Normal
2019,7,Russia & CIS,57657457.127194986,426113.0,59479700.06976961,1472371.0,-3.06,-71.06,Normal
2019,7,Canada,10585841.776766539,302885.0,12137354.429543503,225400.0,-12.78,34.38,Normal
2019,8,Rest Of Europe,49456905.36763424,750207.0,43559985.81394404,1341925.0,13.54,-44.09,Normal
2019,8,South Korea,19620982.35998702,747425.0,25391995.553811193,968356.0,-22.73,-22.82,Normal
2019,8,Latin America,10387365.946307674,391814.0,12239614.020931602,244947.0,-15.13,59.96,Normal
2019,8,China,41316639.18900937,803009.0,32918996.40128684,1032997.0,25.51,-22.26,Normal
2019,8,Japan,4804478.948457114,222805.0,3838134.682878256,174621.0,25.18,27.59,Normal
2019,8,Italy,5213793.850387812,174955.0,4059740.0851638317,128782.0,28.43,35.85,Normal
2019,8,Nordic,15334264.55657205,231838.0,9516401.18870315,342860.0,61.14,-32.38,Normal
2019,8,Rest Of the World,4420711.060931131,119997.0,3350079.2547534853,-116403.0,31.96,-203.09,Normal
2019,8,Rest of Asia,3275571.1858710498,-23695.0,4001001.219437629,1909.0,-18.13,-1341.23,Anomaly
2019,8,Russia & CIS,60160436.60983002,1653667.0,57657457.127194986,426113.0,4.34,288.08,Normal
2019,8,Canada,15035094.422258914,309092.0,10585841.776766539,302885.0,42.03,2.05,Normal
2019,9,Rest Of Europe,42755600.0607205,-75054.0,49456905.36763424,750207.0,-13.55,-110.0,Normal
2019,9,South Korea,17634831.972841144,404615.0,19620982.35998702,747425.0,-10.12,-45.87,Normal
2019,9,Latin America,7445693.442872524,146577.0,10387365.946307674,391814.0,-28.32,-62.59,Normal
2019,9,China,31150757.337485164,1296859.0,41316639.18900937,803009.0,-24.6,61.5,Normal
2019,9,Japan,6075437.695983693,-55992.0,4804478.948457114,222805.0,26.45,-125.13,Normal
2019,9,Italy,6145071.6133980155,244320.0,5213793.850387812,174955.0,17.86,39.65,Normal
2019,9,Nordic,12025114.554617167,168350.0,15334264.55657205,231838.0,-21.58,-27.38,Normal
2019,9,Rest Of the World,5500282.243537724,-7822.0,4420711.060931131,119997.0,24.42,-106.52,Normal
2019,9,Rest of Asia,4710875.986228347,-7249.0,3275571.1858710498,-23695.0,43.82,-69.41,Normal
2019,9,Russia & CIS,68279382.77564108,953610.0,60160436.60983002,1653667.0,13.5,-42.33,Normal
2019,9,Canada,11306991.836353943,222779.0,15035094.422258914,309092.0,-24.8,-27.92,Normal
